Case,T_peak_h,alpha_off,Bus,P_BESS_kW,E_batt_wd_MWh,P_ch_kW,P_ch_over_rating,E_restored_MWh,energy_error_MWh
P1/D4,2,1,18,240,0.505263157894737,60.7565485637488,0.253152285682287,0.505263157894737,1.11022302462516e-16
P1/D4,4,0.5,10,30.0871145269849,0.126682587482042,30.0871145269849,1,0.126682587482042,0
P1/D4,4,0.5,14,240,1.01052631578947,240,1,1.01052631578947,0
P1/D4,4,0.5,18,240,1.01052631578947,240,1,1.01052631578947,0
P1/D4,4,0.7,10,30.0871145269849,0.126682587482042,30.0871145269849,1,0.126682587482042,0
P1/D4,4,0.7,14,240,1.01052631578947,240,1,1.01052631578947,0
P1/D4,4,0.7,18,240,1.01052631578947,240,1,1.01052631578947,0
P1/D4,4,0.85,10,30.0871145269849,0.126682587482042,19.9018243923241,0.661473348481932,0.126682587482042,0
P1/D4,4,0.85,14,240,1.01052631578947,158.753603635664,0.661473348481932,1.01052631578947,0
P1/D4,4,0.85,18,240,1.01052631578947,158.753603635664,0.661473348481932,1.01052631578947,0
P1/D4,4,1,10,30.0871145269849,0.126682587482042,7.61662181211945,0.253152285683234,0.126682587482042,0
P1/D4,4,1,14,240,1.01052631578947,60.7565485639761,0.253152285683234,1.01052631578947,0
P1/D4,4,1,18,240,1.01052631578947,60.7565485639761,0.253152285683234,1.01052631578947,0
P1/D4,6,0.5,10,30.0871145269849,0.190023881223062,30.0871145269849,1,0.190023881223062,0
P1/D4,6,0.5,14,240,1.51578947368421,240,1,1.51578947368421,0
P1/D4,6,0.5,18,240,1.51578947368421,240,1,1.51578947368421,0
P1/D4,6,0.7,10,30.0871145269849,0.190023881223062,30.0871145269849,1,0.190023881223062,0
P1/D4,6,0.7,14,240,1.51578947368421,240,1,1.51578947368421,0
P1/D4,6,0.7,18,240,1.51578947368421,240,1,1.51578947368421,0
P1/D4,6,0.85,10,30.0871145269849,0.190023881223062,19.9018243923241,0.661473348481932,0.190023881223062,0
P1/D4,6,0.85,14,240,1.51578947368421,158.753603635664,0.661473348481932,1.51578947368421,-2.22044604925031e-16
P1/D4,6,0.85,18,240,1.51578947368421,158.753603635664,0.661473348481932,1.51578947368421,-2.22044604925031e-16
P1/D4,6,1,10,30.0871145269849,0.190023881223062,7.61662181211945,0.253152285683234,0.190023881223062,0
P1/D4,6,1,14,240,1.51578947368421,60.7565485639761,0.253152285683234,1.51578947368421,0
P1/D4,6,1,18,240,1.51578947368421,60.7565485639761,0.253152285683234,1.51578947368421,0
P2/D2,2,0.5,14,2.88889491658085e-31,6.08188403490706e-34,2.88889491658085e-31,1,6.08188403490706e-34,0
P2/D2,2,0.5,16,7.89117691932418e-15,1.66130040406825e-17,7.89117691932418e-15,1,1.66130040406825e-17,0
P2/D2,2,0.5,17,55.3433215179537,0.116512255827271,55.3433215179537,1,0.116512255827271,2.77555756156289e-17
P2/D2,2,0.5,18,150,0.315789473684211,150,1,0.315789473684211,0
P2/D2,2,0.5,30,1.66740384137303e-14,3.51032387657479e-17,1.66740384137303e-14,1,3.51032387657479e-17,0
P2/D2,2,0.5,33,8.84563080429838e-15,1.86223806406282e-17,8.84563080429838e-15,1,1.86223806406282e-17,0
P2/D2,2,0.7,14,2.88889491658085e-31,6.08188403490706e-34,2.88889491658085e-31,1,6.08188403490706e-34,0
P2/D2,2,0.7,16,7.89117691932418e-15,1.66130040406825e-17,7.89117691932418e-15,1,1.66130040406825e-17,0
P2/D2,2,0.7,17,55.3433215179537,0.116512255827271,55.3433215179537,1,0.116512255827271,2.77555756156289e-17
P2/D2,2,0.7,18,150,0.315789473684211,150,1,0.315789473684211,0
P2/D2,2,0.7,30,1.66740384137303e-14,3.51032387657479e-17,1.66740384137303e-14,1,3.51032387657479e-17,0
P2/D2,2,0.7,33,8.84563080429838e-15,1.86223806406282e-17,8.84563080429838e-15,1,1.86223806406282e-17,0
P2/D2,2,0.85,14,2.88889491658085e-31,6.08188403490706e-34,2.88889491658085e-31,1,6.08188403490706e-34,0
P2/D2,2,0.85,16,7.89117691932418e-15,1.66130040406825e-17,7.89117691932418e-15,1,1.66130040406825e-17,0
P2/D2,2,0.85,17,55.3433215179537,0.116512255827271,55.3433215179537,1,0.116512255827271,2.77555756156289e-17
P2/D2,2,0.85,18,150,0.315789473684211,150,1,0.315789473684211,0
P2/D2,2,0.85,30,1.66740384137303e-14,3.51032387657479e-17,1.66740384137303e-14,1,3.51032387657479e-17,0
P2/D2,2,0.85,33,8.84563080429838e-15,1.86223806406282e-17,8.84563080429838e-15,1,1.86223806406282e-17,0
P2/D2,2,1,14,2.88889491658085e-31,6.08188403490706e-34,1.5522333618024e-31,0.537310427213302,6.08188403490706e-34,-8.55284707229503e-50
P2/D2,2,1,16,7.89117691932418e-15,1.66130040406825e-17,4.24001164173783e-15,0.537310427213302,1.66130040406825e-17,0
P2/D2,2,1,17,55.3433215179537,0.116512255827271,29.7365437282148,0.537310427213302,0.116512255827271,0
P2/D2,2,1,18,150,0.315789473684211,80.5965640819953,0.537310427213302,0.315789473684211,0
P2/D2,2,1,30,1.66740384137303e-14,3.51032387657479e-17,8.95913470345242e-15,0.537310427213302,3.51032387657479e-17,0
