Case,T_peak_h,alpha_off,Bus,P_BESS_kW,E_batt_wd_MWh,P_ch_kW,P_ch_over_rating,E_restored_MWh,energy_error_MWh
P2/D4,4,0.7,18,240,1.01052631578947,143.324777460155,0.597186572750645,1.01052631578947,0
P2/D4,4,0.7,30,6.49285870657687e-14,2.73383524487447e-16,3.87744803833483e-14,0.597186572750645,2.73383524487447e-16,-4.93038065763132e-32
P2/D4,4,0.85,14,135.558618708833,0.570773131405613,50.2983391482633,0.371044937071093,0.570773131405613,0
P2/D4,4,0.85,16,240,1.01052631578947,89.0507848970624,0.371044937071093,1.01052631578947,0
P2/D4,4,0.85,17,240,1.01052631578947,89.0507848970624,0.371044937071093,1.01052631578947,0
P2/D4,4,0.85,18,240,1.01052631578947,89.0507848970624,0.371044937071093,1.01052631578947,0
P2/D4,4,0.85,30,6.49285870657687e-14,2.73383524487447e-16,2.40914235019332e-14,0.371044937071093,2.73383524487447e-16,4.93038065763132e-32
P2/D4,4,1,14,135.558618708833,0.570773131405613,19.261673866162,0.142091104568823,0.570773131405613,0
P2/D4,4,1,16,240,1.01052631578947,34.1018650965175,0.142091104568823,1.01052631578947,0
P2/D4,4,1,17,240,1.01052631578947,34.1018650965175,0.142091104568823,1.01052631578947,0
P2/D4,4,1,18,240,1.01052631578947,34.1018650965175,0.142091104568823,1.01052631578947,0
P2/D4,4,1,30,6.49285870657687e-14,2.73383524487447e-16,9.22577465426807e-15,0.142091104568823,2.73383524487447e-16,0
P2/D4,6,0.5,14,135.558618708833,0.85615969710842,121.269099619191,0.894587896913182,0.85615969710842,0
P2/D4,6,0.5,16,240,1.51578947368421,214.701095259164,0.894587896913182,1.51578947368421,0
P2/D4,6,0.5,17,240,1.51578947368421,214.701095259164,0.894587896913182,1.51578947368421,0
P2/D4,6,0.5,18,240,1.51578947368421,214.701095259164,0.894587896913182,1.51578947368421,0
P2/D4,6,0.5,30,6.49285870657687e-14,4.10075286731171e-16,5.80843281527105e-14,0.894587896913182,4.10075286731171e-16,0
P2/D4,6,0.7,14,135.558618708833,0.85615969710842,80.9537869139792,0.597186572753889,0.85615969710842,-1.11022302462516e-16
P2/D4,6,0.7,16,240,1.51578947368421,143.324777460933,0.597186572753889,1.51578947368421,-2.22044604925031e-16
P2/D4,6,0.7,17,240,1.51578947368421,143.324777460933,0.597186572753889,1.51578947368421,-2.22044604925031e-16
P2/D4,6,0.7,18,240,1.51578947368421,143.324777460933,0.597186572753889,1.51578947368421,-2.22044604925031e-16
P2/D4,6,0.7,30,6.49285870657687e-14,4.10075286731171e-16,3.87744803835589e-14,0.597186572753889,4.10075286731171e-16,-4.93038065763132e-32
P2/D4,6,0.85,14,135.558618708833,0.85615969710842,50.2983391484246,0.371044937072283,0.85615969710842,0
P2/D4,6,0.85,16,240,1.51578947368421,89.0507848973478,0.371044937072283,1.51578947368421,2.22044604925031e-16
P2/D4,6,0.85,17,240,1.51578947368421,89.0507848973478,0.371044937072283,1.51578947368421,2.22044604925031e-16
P2/D4,6,0.85,18,240,1.51578947368421,89.0507848973478,0.371044937072283,1.51578947368421,2.22044604925031e-16
P2/D4,6,0.85,30,6.49285870657687e-14,4.10075286731171e-16,2.40914235020104e-14,0.371044937072283,4.10075286731171e-16,0
P2/D4,6,1,14,135.558618708833,0.85615969710842,19.261673866162,0.142091104568823,0.85615969710842,0
P2/D4,6,1,16,240,1.51578947368421,34.1018650965175,0.142091104568823,1.51578947368421,-2.22044604925031e-16
P2/D4,6,1,17,240,1.51578947368421,34.1018650965175,0.142091104568823,1.51578947368421,-2.22044604925031e-16
P2/D4,6,1,18,240,1.51578947368421,34.1018650965175,0.142091104568823,1.51578947368421,-2.22044604925031e-16
P2/D4,6,1,30,6.49285870657687e-14,4.10075286731171e-16,9.22577465426807e-15,0.142091104568823,4.10075286731171e-16,0
